model_name,algorithm,target,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,best_threshold_mean,best_threshold_std,precision_at_best_threshold_mean,precision_at_best_threshold_std,recall_at_best_threshold_mean,recall_at_best_threshold_std,f1_at_best_threshold_mean,f1_at_best_threshold_std
behavioral,dummy,is_bot,0.5,0.0,0.1707,0.0023,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behavioral,gradient_boosting,is_bot,0.9177,0.0155,0.8519,0.0243,0.1,0.0,0.6427,0.0236,0.845,0.026,0.73,0.0224
behavioral,logistic_regression,is_bot,0.9144,0.0132,0.8412,0.0229,0.35,0.0,0.5382,0.0261,0.8607,0.0208,0.662,0.0212
behavioral,random_forest,is_bot,0.9192,0.0149,0.8518,0.0263,0.2,0.0354,0.5705,0.069,0.863,0.0251,0.6848,0.0521
combined,dummy,is_fraud,0.5,0.0,0.2611,0.006,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,gradient_boosting,is_fraud,0.7798,0.0038,0.5842,0.0119,0.33,0.0274,0.5289,0.0255,0.5243,0.0651,0.5235,0.0195
combined,logistic_regression,is_fraud,0.5658,0.0065,0.3216,0.0106,0.67,0.0447,0.443,0.1004,0.0204,0.0203,0.0375,0.0352
combined,random_forest,is_fraud,0.7807,0.0029,0.5827,0.0131,0.54,0.0418,0.5484,0.0546,0.4947,0.0971,0.5115,0.0295
transactional,dummy,is_fraud,0.5,0.0,0.2611,0.006,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transactional,gradient_boosting,is_fraud,0.7165,0.0088,0.4255,0.0197,0.52,0.0837,0.4572,0.0704,0.1338,0.104,0.1938,0.1301
transactional,logistic_regression,is_fraud,0.5628,0.0082,0.3218,0.0098,0.67,0.0447,0.4387,0.1013,0.0208,0.0204,0.0382,0.0354
transactional,random_forest,is_fraud,0.711,0.0097,0.4188,0.0157,0.63,0.1304,0.448,0.0508,0.3406,0.2798,0.3155,0.1916
