model_name,algorithm,target,roc_auc,pr_auc,precision_at_0.5,recall_at_0.5,f1_at_0.5,best_threshold,precision_at_best_threshold,recall_at_best_threshold,f1_at_best_threshold,flag_rate_at_best_threshold,recall_stealth_at_best_threshold,review_threshold,deny_threshold,pct_allow,pct_review,pct_deny,seed
behavioral,dummy,is_bot,0.5,0.174,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,1.0,0.0,42
transactional,dummy,is_fraud,0.5,0.2695,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,42
combined,dummy,is_fraud,0.5,0.2695,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,42
behavioral,logistic_regression,is_bot,0.9013,0.836,0.7094,0.7787,0.7425,0.35,0.5259,0.8448,0.6483,0.2795,0.9545,0.05,0.45,0.053,0.7325,0.2145,42
transactional,logistic_regression,is_fraud,0.5679,0.3342,0.2707,0.9833,0.4245,0.6,0.3867,0.0538,0.0945,0.0375,0.0702,0.5,0.75,0.021,0.976,0.003,42
combined,logistic_regression,is_fraud,0.5682,0.3342,0.2685,0.9647,0.42,0.6,0.3867,0.0538,0.0945,0.0375,0.0702,0.5,0.75,0.0315,0.9655,0.003,42
behavioral,random_forest,is_bot,0.9066,0.8404,0.8414,0.7471,0.7915,0.15,0.4678,0.8563,0.6051,0.3185,0.9773,0.05,0.25,0.0125,0.768,0.2195,42
transactional,random_forest,is_fraud,0.7224,0.4391,0.4232,0.6846,0.523,0.65,0.4693,0.3117,0.3746,0.179,0.2632,0.3,0.8,0.2595,0.7325,0.008,42
combined,random_forest,is_fraud,0.7815,0.5681,0.491,0.6104,0.5443,0.5,0.491,0.6104,0.5443,0.335,0.7193,0.25,0.65,0.235,0.642,0.123,42
behavioral,gradient_boosting,is_bot,0.9005,0.8361,0.9091,0.7184,0.8026,0.1,0.6448,0.819,0.7215,0.221,0.8977,0.05,0.1,0.6635,0.1155,0.221,42
transactional,gradient_boosting,is_fraud,0.7242,0.4498,0.4806,0.115,0.1856,0.45,0.4935,0.2839,0.3604,0.155,0.2456,0.1,0.6,0.191,0.794,0.015,42
combined,gradient_boosting,is_fraud,0.7806,0.5733,0.6705,0.3284,0.4408,0.3,0.494,0.6067,0.5445,0.331,0.7544,0.1,0.5,0.211,0.657,0.132,42
behavioral,dummy,is_bot,0.5,0.1715,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,1.0,0.0,123
transactional,dummy,is_fraud,0.5,0.256,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,123
combined,dummy,is_fraud,0.5,0.256,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,123
behavioral,logistic_regression,is_bot,0.902,0.8313,0.7383,0.7813,0.7592,0.35,0.5511,0.8484,0.6682,0.264,0.949,0.1,0.5,0.227,0.5915,0.1815,123
transactional,logistic_regression,is_fraud,0.5556,0.3117,0.2973,0.5586,0.3881,0.65,0.4118,0.0273,0.0513,0.017,0.0196,0.45,0.65,0.0025,0.9805,0.017,123
combined,logistic_regression,is_fraud,0.5605,0.3084,0.2564,0.9785,0.4063,0.65,0.4333,0.0254,0.048,0.015,0.0196,0.5,0.65,0.023,0.962,0.015,123
behavioral,random_forest,is_bot,0.9052,0.8279,0.829,0.7493,0.7871,0.2,0.5835,0.8455,0.6905,0.2485,0.9388,0.05,0.35,0.026,0.79,0.184,123
transactional,random_forest,is_fraud,0.7127,0.4105,0.3871,0.6328,0.4804,0.5,0.3871,0.6328,0.4804,0.4185,0.7059,0.2,0.5,0.1835,0.398,0.4185,123
combined,random_forest,is_fraud,0.7778,0.571,0.4941,0.5762,0.532,0.55,0.5533,0.4258,0.4812,0.197,0.549,0.2,0.65,0.1855,0.709,0.1055,123
behavioral,gradient_boosting,is_bot,0.9088,0.8366,0.9221,0.656,0.7666,0.1,0.6339,0.828,0.7181,0.224,0.9082,0.05,0.2,0.6475,0.178,0.1745,123
transactional,gradient_boosting,is_fraud,0.7219,0.4327,0.4803,0.1426,0.2199,0.5,0.4803,0.1426,0.2199,0.076,0.1569,0.1,0.5,0.1965,0.7275,0.076,123
combined,gradient_boosting,is_fraud,0.7751,0.5729,0.6936,0.3184,0.4364,0.35,0.5548,0.4648,0.5058,0.2145,0.6667,0.1,0.5,0.21,0.6725,0.1175,123
behavioral,dummy,is_bot,0.5,0.1695,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,1.0,0.0,456
transactional,dummy,is_fraud,0.5,0.2605,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,456
combined,dummy,is_fraud,0.5,0.2605,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,456
