precision_constraint,model_name,algorithm,best_threshold,review_threshold,pr_auc,roc_auc,precision,recall,f1,val_precision_at_best,val_recall_at_best,flag_rate_best,pct_allow,pct_review,pct_deny
0.4,Transactional,Logistic Regression,0.6,0.5,0.3342,0.5679,0.0,0.0,0.0,0.3867,0.0538,0.0375,0.021,0.976,0.003
0.4,Combined,Logistic Regression,0.6,0.5,0.3342,0.5682,0.0,0.0,0.0,0.3867,0.0538,0.0375,0.0315,0.9655,0.003
0.4,Transactional,Random Forest,0.5,0.3,0.4391,0.7224,0.0,0.0,0.0,0.4232,0.6846,0.436,0.2595,0.7325,0.008
0.4,Combined,Random Forest,0.4,0.25,0.5681,0.7815,0.0,0.0,0.0,0.4246,0.7737,0.491,0.235,0.642,0.123
0.4,Transactional,Gradient Boosting,0.3,0.1,0.4498,0.7242,0.0,0.0,0.0,0.4275,0.6122,0.386,0.191,0.794,0.015
0.4,Combined,Gradient Boosting,0.2,0.1,0.5733,0.7806,0.0,0.0,0.0,0.4193,0.7755,0.4985,0.211,0.657,0.132
0.45,Transactional,Logistic Regression,0.6,0.5,0.3342,0.5679,0.0,0.0,0.0,0.3867,0.0538,0.0375,0.021,0.976,0.003
0.45,Combined,Logistic Regression,0.6,0.5,0.3342,0.5682,0.0,0.0,0.0,0.3867,0.0538,0.0375,0.0315,0.9655,0.003
0.45,Transactional,Random Forest,0.55,0.3,0.4391,0.7224,0.0,0.0,0.0,0.4391,0.5213,0.32,0.2595,0.7325,0.008
0.45,Combined,Random Forest,0.45,0.25,0.5681,0.7815,0.0,0.0,0.0,0.4558,0.6883,0.407,0.235,0.642,0.123
0.45,Transactional,Gradient Boosting,0.4,0.1,0.4498,0.7242,0.0,0.0,0.0,0.4685,0.4416,0.254,0.191,0.794,0.015
0.45,Combined,Gradient Boosting,0.25,0.1,0.5733,0.7806,0.0,0.0,0.0,0.4585,0.6976,0.41,0.211,0.657,0.132
0.5,Transactional,Logistic Regression,0.6,0.5,0.3342,0.5679,0.0,0.0,0.0,0.3867,0.0538,0.0375,0.021,0.976,0.003
0.5,Combined,Logistic Regression,0.6,0.5,0.3342,0.5682,0.0,0.0,0.0,0.3867,0.0538,0.0375,0.0315,0.9655,0.003
0.5,Transactional,Random Forest,0.65,0.3,0.4391,0.7224,0.0,0.0,0.0,0.4693,0.3117,0.179,0.2595,0.7325,0.008
0.5,Combined,Random Forest,0.5,0.25,0.5681,0.7815,0.0,0.0,0.0,0.491,0.6104,0.335,0.235,0.642,0.123
0.5,Transactional,Gradient Boosting,0.45,0.1,0.4498,0.7242,0.0,0.0,0.0,0.4935,0.2839,0.155,0.191,0.794,0.015
0.5,Combined,Gradient Boosting,0.3,0.1,0.5733,0.7806,0.0,0.0,0.0,0.494,0.6067,0.331,0.211,0.657,0.132
0.55,Transactional,Logistic Regression,0.65,0.5,0.3342,0.5679,0.0,0.0,0.0,0.4583,0.0204,0.012,0.021,0.976,0.003
0.55,Combined,Logistic Regression,0.65,0.5,0.3342,0.5682,0.0,0.0,0.0,0.4583,0.0204,0.012,0.0315,0.9655,0.003
